Date,Open,High,Low,Close
02/02/2012,6.076,6.199,5.823,6.1
03/02/2012,6.1,6.14,5.719,5.959
04/02/2012,5.959,5.987,5.84,5.873
05/02/2012,5.873,5.885,5.45,5.689
06/02/2012,5.689,5.72,5.45,5.453
07/02/2012,5.453,5.78,5.45,5.69
08/02/2012,5.69,5.849,5.3,5.6
09/02/2012,5.6,5.915,5.5,5.83
10/02/2012,5.83,5.985,5.801,5.913
11/02/2012,5.913,6.0,5.541,5.601
12/02/2012,5.601,5.85,5.43,5.515
13/02/2012,5.515,5.72,5.2,5.26
14/02/2012,5.26,5.451,4.212,4.463
15/02/2012,4.463,4.88,4.2,4.325
16/02/2012,4.325,4.444,3.878,4.274
17/02/2012,4.274,4.77,4.228,4.41
18/02/2012,4.41,4.497,4.12,4.222
19/02/2012,4.222,4.52,4.181,4.387
